ESC_REDE_distance	ESC_REDE_randcontrl_distance	ESC_noclass_distance	ESC_noclass_randcontrl_distance	TSC_REDE_distance	TSC_REDE_randcontrl_distance	TSC_noclass_distance	TSC_noclass_randcontrl_distance	ESC_NEDE_distance	ESC_NEDE_randcontrl_distance	TSC_NEDE_distance	TSC_NEDE_randcontrl_distance	ESC_NonEnh_distance	ESC_NonEnh_randcontrl_distance	TSC_NonEnh_distance	TSC_NonEnh_randcontrl_distance
323355.5	20101.5	51227.5	1446241.5	6914	21702	91324.5	81057.5	20501	12079	82033.5	46306.5	90817	12113	60578	62153
14158.5	183765.5	78862.5	2501.5	64899.5	147001.5	176958.5	15172.5	24616.5	13931.5	36008.5	20646.5	94078	154908	837216.5	381712.5
35529	230	114529	2868738	148501.5	37011.5	271982.5	235281.5	28022	100981	133498	56052	116414	10204	128105.5	621360.5
93195.5	354745.5	405056.5	2277.5	19544	152834	318170.5	145734.5	9222	14829	188527.5	24726.5	5667.5	93634.5	71405	259342
118610.5	441975.5	391772	46232	20129	72546	463808.5	21096.5	28082	323195	12043	8285	305343.5	49016.5	314999.5	179.5
54071	18919	299021	4678	85573.5	158288.5	329114	853446	16065.5	405.5	89721.5	103970.5	45577	383687	98730.5	597728.5
5895	4064	113153	25409	112702	19082	272272	240241	3822	17320	11501	26826	8391.5	743919.5	91690	22614
1034112.5	98055.5	74700	44001	136156.5	110329.5	272758.5	153721.5	1414.5	101385.5	1527	894	22288.5	660176.5	173483	125344
10547	61488	60126	11062	139338	15289	622690.5	15148.5	839.5	568429.5	43369.5	19725.5	76709	46830	169956	204442
70617.5	391860.5	46254.5	584151.5	37918	175121	738272	725559	31527.5	446919.5	5809.5	642897.5	266860	16925	66183	51064
8234	26477	82902.5	5333.5	38442.5	27478.5	66465.5	3248698.5	57134.5	137978.5	94897	2955	551832.5	831.5	164580	50577
33278.5	126069.5	71418	36245	1899.5	9564.5	55688.5	157349.5	25183	27669	48120	52433	342670	2129	911729	41300
54349.5	14854.5	64458.5	763.5	6537	5203	14734	48706	70235.5	268545.5	16859	3945	15170.5	150977.5	26438	282530
85162	58692	8516.5	43711.5	80609	2465	52882	7307	46335	13409	66595.5	13142.5	69727.5	205465.5	199577	104479
56333.5	23165.5	25357.5	321809.5	46066.5	38998.5	115064	88132	39239.5	61989.5	27312.5	49716.5	2090.5	117934.5	59908.5	64946.5
44469	87078	33719.5	505901.5	241543	108777	21785.5	139877.5	22059.5	14577.5	6037.5	1177841.5	499188	41680	206796	123167
1907.5	23067.5	230371	110622	7542	108187	16962.5	28256.5	13285	2797	40033	66333	96274	403141	36928.5	172346.5
2785.5	68345.5	123932.5	99293.5	3052.5	11664.5	71405	215333	86168.5	209372.5	32734	176409	1045543.5	113874.5	220188.5	13050.5
15313.5	21128.5	67823.5	273835.5	6105.5	74822.5	17254.5	11933.5	65405	1398319	64040	181938	46166.5	234651.5	64631.5	3555.5
497650	985654	21653	732556	2762.5	1205792.5	65719	20501	1565	73281	315262	98439	373690	16569	270633.5	59102.5
1376820.5	236460.5	75732.5	12202.5	107261.5	6355.5	128532	101083	60066.5	101660.5	26096	110861	348114.5	9879.5	48343.5	131786.5
225045	258	71185.5	14990.5	21367	135308	10727	247487	156671.5	12025.5	31715	35856	59883.5	70709.5	640926	14040
434228.5	179793.5	31249.5	523306.5	85696.5	54888.5	586875	1613455	83050	189358	16691	618651	10868	46244	16081	1232011
167345.5	407336.5	178768.5	23789.5	208982	112800	918548.5	128824.5	7374.5	122135.5	95855	101861	1045782	827	16293	201633
27737	14699	193207	50666	118787.5	11072.5	48725	7403	42057.5	10288.5	91868.5	197751.5	18986	58348	134517	565994
192710.5	3148.5	48304.5	24143.5	13191.5	123700.5	114115	50180	148933.5	47540.5	34309	7482	2318	623506	24891	112229
737409.5	22010.5	99840	1463116	90139	85	106842	242891	51401	195533	91037	850108	168197.5	8766.5	836387	35647
69684	44481	118863	5276	82364.5	2924310.5	56758.5	19625.5	50114.5	324732.5	25201	12073	12226.5	468161.5	11050.5	21333.5
108210.5	193474.5	115449.5	54843.5	81842.5	651463.5	35723.5	546570.5	40280.5	216961.5	24036	47468	313427	563777	207826	428402
83417	480892	24911.5	46866.5	259674.5	27927.5	36033	10230	47438	68962	28389.5	405761.5	172857.5	75134.5	161762.5	37726.5
519405.5	170046.5	9076	18019	6724.5	1006915.5	179013.5	9726.5	31876	2353048	7819.5	457110.5	43102.5	7196.5	422090.5	369328.5
147792	53592	3762	46351	46683.5	41987.5	119108	7099	19911.5	2677.5	5863	78553	18617.5	4377.5	579757	60129
302426	19309	3345.5	86127.5	34197.5	192004.5	27854.5	39872.5	6596.5	43350.5	67082.5	235784.5	147095	2391	902251	3607
199788.5	817081.5	83851	389371	178105	1062	12377	504739	129409.5	46260.5	2435	247667	477251.5	208399.5	21093.5	14570.5
69087.5	24961.5	64491	46161	49729.5	212499.5	3823.5	214440.5	16603	249648	16877	31679	15936	23895	30957	4426
149543.5	17702.5	97453	40336	116507.5	35024.5	11078.5	2720333.5	13144	100793	30764.5	299669.5	18234	140262	94291.5	125196.5
4946.5	301149.5	26749.5	163865.5	21168	4166	88521.5	18008.5	2995.5	119699.5	11490.5	160407.5	396239	688978	150859.5	2544.5
319855	433215	180998	420603	22107.5	209263.5	192150	275905	34986	44145	26372.5	8289.5	34770	41765	944629.5	202048.5
633298	20759	276648	1600	15625.5	1007353.5	456695.5	1823213.5	13451	245896	10279.5	186106.5	50698.5	563460.5	72703	5417
