ESC_REDE_distance	ESC_REDE_randcontrl_distance	ESC_noclass_distance	ESC_noclass_randcontrl_distance	TSC_REDE_distance	TSC_REDE_randcontrl_distance	TSC_noclass_distance	TSC_noclass_randcontrl_distance	ESC_NEDE_distance	ESC_NEDE_randcontrl_distance	TSC_NEDE_distance	TSC_NEDE_randcontrl_distance	ESC_NonEnh_distance	ESC_NonEnh_randcontrl_distance	TSC_NonEnh_distance	TSC_NonEnh_randcontrl_distance
		7233	6819			125833.5	68452.5	13061	14543						
		10231.5	2361172.5			37654.5	149182.5	25582	10074						
		32023.5	267953.5			36670	115622	89591.5	6990.5						
		37508.5	485109.5			152551.5	111493.5	475661	15370						
		16157	273262			174968	24197	322827.5	293612.5						
		20832	14684			170248	33253	63486.5	190968.5						
		9814	27862			36664	89112	72933.5	8080.5						
		7144.5	59202.5			364106	323298	56540	82327						
		44080.5	50822.5			386472.5	318928.5	53728.5	14886.5						
		2698	29329			170127	56466	29157	40364						
		4734	153677			36318.5	146610.5	8611.5	48423.5						
		2689	13942			35846.5	18233.5	123691	17440						
		40479	568749			112516	356921	40204.5	46401.5						
		43058	412388			56666.5	129311.5	2187	44396						
		2256.5	19765.5			56194	30810	62548.5	140440.5						
		3780	52497			115957	63274	33706	17467						
		4192	133950			217684.5	69146.5	41719.5	10555.5						
		16277.5	54829.5			218156.5	85921.5	1355	14945						
		2472.5	497928.5			200221.5	24884.5	56041.5	7699.5						
		8154.5	19983.5			199742.5	2797.5	94401	7037						
		19731.5	182245.5			47918	11949	28444	1068168						
		2513.5	16426.5			12047	276519	45805	135640						
		67405	267308			48825	7925	46920	107658						
		1173	17684			111177	267933	40838	59209						
		1807.5	64167.5			126398	16168	16078	190461						
		51887	1118302			460922.5	37111.5	726599	73556						
		68249	53732			716471	15392	761360.5	28075.5						
		90151.5	43917.5			317254	224858	94289	655655						
		81697.5	23377.5			185866	585353	2142.5	618969.5						
		37119.5	49042.5			185513.5	72180.5	3191	1670						
		8420.5	125571.5			12618	2393	15039	835450						
		36671.5	22236.5			200495	12549	6614.5	88424.5						
		23785	78295			114041.5	316560.5	12083.5	43154.5						
		30365.5	65856.5			113352	50301	12709.5	1998.5						
		14889	2371			81155	24414	19516.5	31385.5						
		2369	14675			134517	109226	5059	59816						
		1692.5	387670.5			160080	108695	9737	198649						
		12226	21884			78785.5	2777.5	44287.5	24523.5						
		9653.5	222858.5			78392	3220	6301	53565						
		2308	249411			91814	186943	17421.5	24818.5						
		10602.5	5729.5			27120.5	6456.5	46030.5	7379.5						
		10253.5	26392.5			99348.5	47495.5	9630	57854						
		106149	299279			49931.5	181836.5	9257	23983						
		2026	437526			42327	9934	3504.5	406298.5						
		14515	38282			64668.5	164116.5	173693	64271						
		12631.5	87006.5			57064	767	66532.5	64318.5						
		467529.5	37831.5			57154	227430	3862.5	25741.5						
		467711.5	357598.5			59175.5	25188.5	49491	282992						
		372092.5	157173.5			54511	21252	24470.5	38891.5						
		202132	41264			60630.5	57494.5	23277	3872						
		57651	16781			53031	1071	11569	95124						
		298587	1409017			63877.5	2288.5	53551.5	80462.5						
		102572	18646			71477	678898	74266	8187						
		62675.5	1595.5			217144.5	9423.5	31604	230033						
		172264	8204			230432.5	211937.5	11580	131361						
		1479	6661			229468.5	50155.5	151951.5	92662.5						
		30679	167076			151664.5	26178.5	218173.5	33075.5						
		19090	5257			188846.5	3017.5	15981	47111						
		24093	23116			260095	51326	29507	150439						
		15728.5	195830.5			260919.5	168215.5	15983.5	265657.5						
		22562	393808			173598	208346	3130.5	4179.5						
		23067	33275			81154	1265356	3467	13933						
		29415.5	2707.5			15225.5	130216.5	22851.5	42437.5						
		76709	1765			205233.5	2855122.5	8421	183306						
		18381.5	95653.5			105492.5	140988.5	5414	8378						
		15487	150101			26699	110955	3560.5	26606.5						
		259353	3313378			48365	15856	23445	141101						
		13622.5	44749.5			50153.5	30956.5	25531	2789						
		18595.5	76833.5			73518.5	2738162.5	7786	98190						
		24571	9830			19201.5	31040.5	8923	5220						
		60713	44269			59902	246913	1551	31782						
		39675.5	234783.5			90963	75728	13848	43906						
		58560.5	8583.5			393378	266994	18781	17576						
		32825.5	4848.5			78716	710592	95863	698141						
		34431.5	277097.5			92541	30982	302746	6236						
		14150.5	1121787.5			314219	273506	294062	10025						
		48887	117978			62078	74520	215806	436						
		28009	48481			376760.5	48855.5	26422.5	2251050.5						
		34746.5	28504.5			105020.5	6681.5	19435.5	87108.5						
		35045.5	25663.5			10626	98092	7169	6927						
		52517	58783			9902.5	131240.5	5640	15142						
		52071	206401			847418.5	5985.5	6684	23457						
		19339.5	8081.5			846418.5	5584.5	13057	158318						
		49181	163284			206401	65108	188027	10036						
		42863.5	38720.5			206796	108804	49756	39654						
		92730	148032			249667.5	122751.5	432286	5445						
		27901	40443			165718	112046	13348.5	16196.5						
		28108.5	10321.5			101654	57880	35412	11526						
		198064	604			183386	11038	94633	10889						
		47804.5	152221.5			10602	596624	42619	25045						
		18867	26378			9463.5	247717.5	37359.5	66112.5						
		35985.5	18413.5			141744	413131	37185	51815						
		40568.5	127278.5			44530.5	57463.5	19592.5	63373.5						
		31409.5	114205.5			20820	20473	6480	21489						
		25607.5	60419.5			7688	10321	44542	53390						
		32420	669308			88357.5	3611.5	42061.5	34333.5						
		61174.5	109234.5			13692.5	11595.5	188549.5	7388.5						
		52106	39844			276070	190260	70152	123046						
		17512.5	5073.5			11500.5	44176.5	61644	38082						
		96904.5	316462.5			552774	40514	6347.5	393829.5						
		133515.5	2197.5			421108	665967	7932	36006						
		24483.5	9010.5			569969.5	120309.5	29719.5	3720.5						
		35127	3593			422090.5	181395.5	56634.5	283626.5						
		31668.5	10114.5			39426.5	2436859.5	49399.5	142916.5						
		371306	69040			157289	286790	130021.5	7314.5						
		693434	28229			440253.5	1012631.5	21873.5	120842.5						
		706193	49269			81263	159688	6431	253956						
		757328	217235			230246.5	199456.5	146060.5	37692.5						
		886858.5	26860.5			582594	156400	16190.5	23499.5						
		881846	71971			640926	755857	52681	7157						
		588621	33999			936528	163764	9601	52166						
		586895	14643			932570	73943	129673.5	86023.5						
		549493.5	21381.5			550557.5	44833.5	35775	5608						
		431214.5	1666.5			6228.5	629173.5	13114	35941						
		423400	32157			232359.5	172819.5	13414.5	45262.5						
		318914.5	73102.5			233054.5	71034.5	24674	186627						
		82542	2036			6573.5	1228023.5	9669.5	5498.5						
		168695.5	16993.5			32975.5	535408.5	85478.5	3001.5						
		32223	167875			55860	36418	21282.5	171267.5						
		399251.5	522693.5			277951.5	3545.5	20827	725						
		301777.5	316484.5			400488.5	174426.5	2472	279337						
		268459.5	5384.5			529826.5	6805.5	257829.5	81407.5						
		108321.5	3629.5			781546.5	5744.5	20083.5	1015430.5						
		108012.5	27660.5			1212953.5	306155.5	975.5	14308.5						
		107241.5	20785.5			1222085.5	28697.5	33847	9894						
		6438.5	4972.5			1092741.5	16987.5	33998	16502						
		5096.5	550776.5			909956.5	273759.5	38427.5	231596.5						
		554746.5	50802.5			785216.5	162698.5	2439.5	11014.5						
		129477.5	869.5			451106.5	14921.5	14809	53798						
		129594	2630099			297154.5	44044.5	14506	16810						
		89807.5	14306.5			49106	104784	188985	150888						
		98915	396391			67740.5	10183.5	36760	13205						
		207491	7670			151315.5	16796.5	14732	60494						
		308877.5	209434.5			56447	58521	13264	17797						
		525064	242234			3570	526571	1854.5	77447.5						
		537224.5	26797.5			5277	415492	86854.5	87302.5						
		588764	68919			68654.5	41413.5	14381.5	41730.5						
		236118.5	168928.5			75904	270025	164129.5	8416.5						
		76832.5	633.5			72703	35002	47498.5	948.5						
		88936	51363			28011	75883	56630	424866						
		119730	14248			789037	490532	7996.5	4662.5						
		21267	180460			1555313.5	81634.5	15043.5	17627.5						
		172904.5	2653041.5			926350.5	63150.5	9932.5	5016.5						
		173626	177640			11846.5	38981.5	20686.5	350542.5						
		75745	1863			6742	91544	1386808.5	74855.5						
		87988	1754327			110298.5	554225.5	170836.5	35832.5						
		109890.5	20090.5			342866	58016	20381.5	3886.5						
		130004	7902			342034.5	45198.5	10709	130429						
		309182.5	709705.5			326937	946474	4405.5	123993.5						
		309619	28857			38671	33353	22669.5	374987.5						
		7856	5672			24729.5	76189.5	218327.5	136325.5						
		39286	45336			65908.5	19167.5	216330	967495						
		39008.5	64382.5			33960.5	59327.5	5717.5	31925.5						
		471097.5	9537.5			110360	43780	69559	452052						
		683237.5	752566.5			197020	23408	68523.5	15991.5						
		848389	22834			43937	255	12864.5	44162.5						
		673968	21113			169121.5	13945.5	323772.5	342385.5						
		331742	125193			304822.5	819.5	46992	132788						
		28522.5	19331.5			65857	61390	16450	80358						
		74082	103974			48829	269389	29488	258754						
		129564.5	6515.5			157329	47111	27286.5	602543.5						
		128667	163236			52746	531870	115630	550803						
		70294.5	6917.5			82379	596039	7871	77081						
		36977	19194			176911.5	432089.5	13935	46831						
		44564.5	108026.5			207826	608799	21711	95682						
		44472.5	50994.5			59415	34965	97188	9972						
		17454	22635			66467	5000	14334	20358						
		12832.5	252245.5			97201	4526	180987	198250						
		3855	10823			168559	306391	20530.5	9691.5						
		30969	32495			764213	1253101	30288.5	93780.5						
		11304.5	205269.5			821389	16767	74859	326467						
		5926.5	89077.5			993147.5	449752.5	74516	2027						
		5845	32644			1110131.5	900218.5	42972	16142						
		18678.5	33814.5			1206875	1574577	106877.5	33656.5						
		45971	14269			1214570	771489	41797	626274						
		163890	439320			1460145.5	976223.5	7047	321583						
		706627.5	2523.5			1663552.5	1470625.5	35841	21969						
		11902.5	15518.5			1553668.5	567857.5	41666	369495						
		10189	2416914			1355732.5	153986.5	2219.5	5470.5						
		9035	21995			1271150	584373	32581.5	159889.5						
		224	1277			1066158	412211	51029.5	32358.5						
		10409	65559			972296.5	2707041.5	15595.5	14860.5						
		7755.5	51866.5			946354	53392	6772.5	3593.5						
		10024	86611			548130	1218648	27248	1805						
		20842.5	436010.5			384501.5	218550.5	15709	65228						
		4632	1918			275872.5	88794.5	69171	596201						
		17546.5	301352.5			268201	721377	224877	139005						
		89244	40572			186644.5	284924.5	54463.5	59328.5						
		43613	718278			76420.5	988354.5	8585.5	59576.5						
		132551	41613			116376.5	207164.5	45399.5	75605.5						
		133070.5	87642.5			215423.5	40859.5	14003.5	716.5						
		2719	373910			127501	1354052	50588	23192						
		2231.5	3834.5			77910.5	362254.5	29742	27969						
		7652	183789			116358.5	77494.5	60661	7439						
		22164.5	15170.5			253686.5	95989.5	52236	63624						
		91316.5	4208.5			341608	72775	26940	49401						
		90817	311293			565014.5	951292.5	30700	140033						
		14969	259847			546927.5	66594.5	62846.5	47741.5						
		95467.5	171665.5			416676.5	396724.5	52135.5	66362.5						
		90738.5	34937.5			352268	219101	17742	54341						
		118667.5	340040.5			351387.5	584690.5	7894	76690						
		58131	32572			153508.5	480857.5	145065	36388						
		53262	10102			86177	1091269	27677	83813						
		3432.5	553.5			193217.5	925045.5	115819	1113						
		262116	192146			281525	24752	100795.5	57047.5						
		343025.5	70784.5			478447.5	699444.5	11152.5	83138.5						
		494321.5	336898.5			733236.5	574638.5	16763	42384						
		469001	105725			1154629.5	1658095.5	2053.5	87447.5						
		359546.5	69243.5			1147311.5	244708.5	44258.5	353929.5						
		260917.5	159001.5			1092402.5	107762.5	7139	143522						
		193420	4195			1085132	2332793	12540	374814						
		192066.5	7142.5			1083960.5	142612.5	21105.5	98896.5						
		312052	63036			991456.5	635795.5	20394.5	7658.5						
		734742.5	22155.5			899420	151153	524501.5	22681.5						
		48297	38008			891770.5	67581.5	52458	225574						
		90508.5	499528.5			565369	146532	239008	113012						
		9116	2216424			533736	910212	120750	120446						
		8203	3005097			386164.5	1164761.5	221658	83837						
		141337	6057			291708	669329	45454	35584						
		254023	1790			284050.5	498157.5	12502	49261						
		255470.5	128680.5			510895.5	51958.5	972	148322						
		349303.5	294495.5			267370	1336118	10383.5	811716.5						
		408237.5	133198.5			259845	6347	350174.5	106609.5						
		409695.5	63846.5			71116	194174	4763.5	19677.5						
		446121	482396			128545.5	1263093.5	5114	71613						
		874893	6983			113334	1482911	24288	524048						
		523165.5	274910.5			105828	706870	12490.5	99933.5						
		522854	89523			99245.5	468387.5	29548.5	2165060.5						
		438847.5	4244.5			80046	310032	14007	317531						
		554272	31255			168147	414424	31108	480271						
		663412	513904			250203.5	963761.5	2713.5	461914.5						
		636194	517983			164247.5	271106.5	22514.5	377848.5						
		526680.5	118829.5			135759.5	967807.5	46033	47140						
		466024	75238			45182.5	131249.5	247191	20539						
		380585	47087			51760.5	363278.5	570825	276155						
		329560.5	24793.5			44030.5	2092622.5	68179	137883						
		240505	710916			44170.5	1241711.5	2375.5	4474.5						
		151458	20677			72508.5	85595.5	513146	15872						
		21421	277915			441673.5	429510.5	113568	35767						
		13491.5	5550.5			582047.5	172639.5	80533	32488						
		13073	55735			610363.5	1889100.5	20768	88674						
		5611	3137			700778	488978	13013.5	298404.5						
		23827.5	1769865.5			911809	75019	64844	2558375						
		171078.5	59507.5			976915.5	1235256.5	65624	10527						
		906782	18326			1054407.5	599297.5	53071	13366						
		907145	13628			1013136.5	1336079.5	20470	69078						
		1523507	280070			692712.5	875593.5	21263	6711						
		1602535.5	64720.5			635562	1011394	3949.5	31244.5						
		748102	9960			606960.5	1212010.5	3459	293855						
		727905	31871			387037.5	699414.5	7851	629536						
		11466.5	1041628.5			292543	127670	18717.5	493414.5						
		11909	203954			284882.5	837598.5	199490	154209						
		341187	103033			510886.5	150255.5	283058.5	8982.5						
		72312	589213			267280	100600	11925	105149						
		691602	139226			259755	1993165	59346.5	49462.5						
		120760.5	828261.5			71124	1230361	81157	2925						
		11165	96762			128531.5	158395.5	127918	748370						
		2357.5	10651.5			114088	2300439	42423	145309						
		15491	8808			106582	540574	20429	44818						
		9930	164196			99982.5	770692.5	31081	19142						
		12163	2589262			79922	457801	7522	1803						
		22346.5	20427.5			168712	1464366	16191	10622						
		21855.5	31921.5			249979.5	80501.5	120142	272359						
		19088.5	122229.5			164013.5	131882.5	11648.5	90275.5						
		18595	1394			135521.5	2006584.5	1995	282863						
		29203.5	199573.5			45184.5	753083.5	351925	68889						
		2424	521669			51757.5	159639.5	2645	193443						
		12253	551931			44042.5	337279.5	22675.5	30379.5						
		2514	582305			441643.5	169902.5	4130.5	23216.5						
		2770.5	123399.5			582013.5	149182.5	120800	68234						
		20148.5	3332.5			610385.5	610830.5	57271	21909						
		5605	291201			911345	16380	4034	46358						
		315804.5	4678.5			976462.5	404418.5	14358	232713						
		90116.5	94916.5			1053948.5	715337.5	23533.5	11035.5						
		42161.5	57104.5			1493537.5	95074.5	14711.5	99065.5						
		140884	133103			1192194.5	35667.5	34648.5	9799.5						
		131202.5	29511.5			1135090	1592043	40380.5	48619.5						
		62082	476350			1106492.5	64993.5	86441.5	2970.5						
		56284	30653			529564	1610746	16845	13630						
		39821.5	27534.5			355258	74054	13923	100258						
		95152.5	7611.5			297796.5	171720.5	115831.5	64578.5						
		306361.5	110282.5			131867.5	155099.5	3560.5	58739.5						
		306983	102614			45847.5	2253827.5	71052	252057						
		488278	636051			15048	281351	31653.5	48720.5						
		487586	77468			100323.5	1826627.5	7775	1158						
		87286	131936			240608.5	350855.5	162647	15913						
		236863.5	224431.5			326714.5	1695126.5	9938	66710						
		234415.5	385.5			545759	185625	30461.5	1818.5						
		418006.5	10446.5			623752.5	90884.5	6075	231847						
		440700	50072			491315.5	1112758.5	18849	1141						
		687402	18635			405567.5	1186763.5	10959	14392						
		282981	9905			112038.5	967082.5	4006	70051						
		529952	6099			93067	4035	5323.5	25247.5						
		6750	3224			167786.5	4893.5	4390.5	3032.5						
		5885.5	4874.5			30313.5	313309.5	26146.5	21308.5						
		7224.5	425272.5			55877.5	240242.5	5393.5	2806.5						
		31238.5	3739.5			83517	187706	99111.5	171685.5						
		3726	143858			178188.5	508735.5	246822	92676						
		2201	636939			365088	478548	2387	10524						
		60794	819588			406939.5	156963.5	45366	223883						
		41379.5	370.5			274681.5	147634.5	22431	9180						
		27323.5	417824.5			188512.5	884711.5	10047.5	4848.5						
		1387.5	79145.5			16960	46512	69918.5	49132.5						
		2763	35638			104954.5	89857.5	12012.5	102064.5						
		5395.5	91213.5			30279.5	2003693.5	27167.5	5987.5						
		14534	10875			55876.5	22064.5	7029.5	7103.5						
		5293.5	17403.5			16938	1315120	19777	21289						
		19692.5	13364.5			104930.5	2240691.5	8341	53272						
		39075	1780			30277.5	642857.5	291935	1045						
		47188	818028			55844.5	94311.5	263161.5	36072.5						
		49068	5419			16952	77778	531720	5518						
		26685	86347			104910.5	1376845.5	6349.5	204325.5						
		41030	799863			30303.5	470921.5	5787	40021						
		48305.5	24317.5			55881.5	1095474.5	4741.5	96695.5						
		51469.5	1336546.5			16939	46615	10100.5	550603.5						
		22896	91096			104892.5	90839.5	19713	359358						
		31788.5	58620.5			30273.5	134830.5	16362	12732						
		38312	213896			55895.5	134348.5	12258.5	31922.5						
		22010	43650			16932	60736	7881	76814						
		19984	470766			104903.5	1528554.5	22251.5	67733.5						
		8391	7852			30272.5	1449948.5	23527.5	18736.5						
		2673.5	720183.5			55868.5	902830.5	45284.5	147185.5						
		2944.5	34294.5			258747	548163	29900.5	776810.5						
		7899	44902			340375.5	212253.5	4548.5	586207.5						
		16845	1223			479382.5	1443322.5	10860	5881						
		10947	130171			565578.5	231299.5	10925.5	30933.5						
		1197.5	23827.5			707874	178666	42450	12925						
		8258.5	14897.5			795870.5	538546.5	11143.5	13298.5						
		4656	34291			1003830	251233	12008	4945						
		4438.5	38607.5			1085460.5	21562.5	24948.5	99433.5						
		2149.5	106414.5			1224503.5	326281.5	114319	24725						
		25583.5	591650.5			1310700.5	590590.5	35093.5	23694.5						
		19977.5	59709.5			1452967	229316	32294.5	6707.5						
		16561.5	145940.5			1540964.5	275021.5	185347.5	514909.5						
		14248.5	724982.5			1748724	1700613	460410.5	107963.5						
		10197.5	63376.5			1835131.5	287165.5	31874.5	256864.5						
		9671.5	31370.5			1974130.5	60431.5	131306.5	96440.5						
		9063.5	1876417.5			2060219.5	394641.5	155205.5	457184.5						
		8501	16994			1962446	19411	7400.5	8258.5						
		5763.5	227947.5			1875986.5	281379.5	6088	46690						
		376.5	1234680.5			1692781.5	369741.5	1952	101835						
		25840.5	14941.5			1654757.5	1490328.5	50531	65586						
		214928	21979			1272273	185070	3155.5	119494.5						
		221292.5	74668.5			1117293.5	37403.5	10760	122622						
		209656.5	280867.5			945917.5	76235.5	3339	303868						
		209100.5	150220.5			941709.5	1999898.5	41960.5	11299.5						
		140543	297814			913056	769662	219522	555727						
		69707	2229			855811	83365	158782	4627						
		23674	24934			785023	193962	28003.5	65054.5						
		24694.5	1317909.5			68398.5	838957.5	3548	82336						
		24475.5	103228.5			30049.5	823430.5	17518	1056487						
		25441.5	46159.5			108785.5	556619.5	2613	126583						
		99026	35691			112783.5	346213.5	19210.5	264890.5						
		96725.5	76243.5			141383	23503	24469.5	69377.5						
		16725.5	142126.5			198167	986065	29161	182740						
		5941.5	108808.5			268739	1260217	11356	395363						
		5556.5	571892.5			380171	1424821	9469	9776						
		20860	102099			798429.5	541384.5	167603	58560						
		16958	893343			904309.5	198254.5	7867.5	164635.5						
		93982.5	79848.5			957169	3330	15344	21939						
		94243.5	15001.5			1005053.5	342423.5	66534.5	704992.5						
		112760.5	545722.5			1009051.5	1107085.5	2110.5	475907.5						
		112631.5	142.5			1037643	16334	39334	91283						
		88857	101949			1094359	338825	107701	157720						
		81838.5	3434.5			1164940	54357	2761	35532						
		121350	56975			1276399	876458	86257.5	77721.5						
		145626.5	14591.5			1813090.5	526625.5	52400.5	24434.5						
		32817.5	12816.5			1911123.5	70868.5	10903	186539						
		15159.5	2559460.5			1989821.5	1827651.5	1669.5	70233.5						
		80844.5	163656.5			1994027.5	1279704.5	210269.5	876728.5						
		81445.5	1561476.5			2022651	80077	474961.5	595574.5						
		33491	505777			2079842	2363553	847125.5	1784519.5						
		28265	99271			2150597	27559	12406.5	94950.5						
		3075.5	56096.5			2253453	533180	11201	132225						
		33878	42884			1962466.5	77497.5	4545.5	30271.5						
		28437.5	11147.5			1856759.5	2093602.5	7115.5	377533.5						
		21851	35596			1803910	468616	2886.5	696318.5						
		8882	1635			1756031.5	111414.5	149329.5	98109.5						
		59852.5	298139.5			1751825.5	208197.5	60164.5	5580.5						
		10304.5	19581.5			1723205	569230	99362	1167						
		4436.5	182589.5			1688780	227876	21460.5	38599.5						
		40578	75194			1631502	36144	36088	395158						
		33454	84335			1560789	579092	15073.5	157259.5						
		33248.5	219040.5			1457603	102342								
		113725	3042			916704.5	83011.5								
		113312.5	164098.5			811012.5	509440.5								
		34812.5	8912.5			732275.5	172882.5								
		2352.5	58255.5			552784	70379								
		18965.5	2154.5			464673.5	19142.5								
		25580	278			259084	62881								
		58317.5	336728.5			170968.5	2084869.5								
		5409	12309			35099.5	734575.5								
		3511.5	23964.5			55886.5	284513.5								
		8068.5	10362.5			235437	439739								
		11739	148870			323601.5	17506.5								
		19985.5	7116.5			527006	1727922								
		22491.5	89039.5			626956.5	370667.5								
		2581	435912			759352.5	1783904.5								
		62444.5	113.5			757894.5	324541.5								
		26372.5	29188.5			552742	199996								
		27485.5	64714.5			465152.5	858442.5								
		21295	470			328868.5	36336.5								
		8813	61043			242538.5	374760.5								
		60987	50277			30339.5	1354599.5								
		61498.5	42073.5			55859.5	710714.5								
		45602.5	73560.5			493981.5	342283.5								
		33273	42707			580151.5	1609104.5								
		15586	47862			499876	273644								
		17919.5	84941.5			413469.5	859169.5								
		22607	1439			280122.5	230751.5								
		36673.5	16496.5			188613.5	2144927.5								
		6702	1090			18656	2407								
		9183.5	169275.5			106281	887498								
		3841.5	79500.5			306993	24363								
		4088	25908			379275.5	1054879.5								
		43259.5	2839.5			514112	556737								
		54667.5	37453.5			600272.5	566791.5								
		60484	262054			911408.5	177024.5								
		8787.5	136893.5			1197989.5	228460.5								
		14638.5	27731.5			1660592.5	1642232.5								
		14632.5	29161.5			2158184.5	269375.5								
		19692.5	9921.5			2328945.5	1062304.5								
		8141.5	23569.5			2406476.5	1977229.5								
		8945	36089			2470707	406701								
		19757.5	44968.5			2199541.5	910846.5								
		17898.5	185690.5			2171208.5	462687.5								
		18153	8905			2029384	436086								
		36160.5	35601.5			1651562	5730								
		13583	8927			1507160.5	709340.5								
		13328.5	83794.5			1478761.5	101341.5								
		29465.5	1383.5			1314919.5	1895669.5								
		79844.5	48579.5			1166892	178147								
		80099	719474			782510.5	609109.5								
		69980.5	47318.5			473750.5	800077.5								
		70235	55045			445656	1855043								
		64662.5	29025.5			383241.5	804199.5								
		13545	2394917			68463.5	239904.5								
		13290.5	97056.5			30054.5	348535.5								
		66622	48592			108494.5	1424737.5								
		66877	295096			114287.5	361982.5								
		102865	36025			143116	966828								
		103119.5	14758.5			200113	85569								
		80336	28173			504052.5	10248.5								
		80079.5	19676.5			81152.5	73750.5								
		13645	24887			30093.5	138722.5								
		24419.5	29083.5			195170.5	1146460.5								
		11781.5	63700.5			199793.5	2650549.5								
		11996	33945			213408.5	348671.5								
		12277	71443			269505	323719								
		16965	16634			874761.5	164795.5								
		10675.5	448.5			1098106.5	1761555.5								
		23034.5	102959.5			1279842.5	450733.5								
		46035.5	89725.5			1503064.5	1255765.5								
		11124.5	470998.5			1927625.5	184502.5								
		16212.5	4258.5			2026112.5	294853.5								
		19509	149291			2104916	229230								
		4969.5	4690.5			2571716	2120666								
		60942.5	345290.5			2628787	520972								
		56800	169006			2657727	46754								
		52322	2469			2736501.5	30188.5								
		60991	2929			2892060.5	1019556.5								
		39191.5	94526.5			2524796	76743								
		25599.5	90614.5			2422043	1431999								
		8268.5	50630.5			2351362	851380								
		2282	171620			2294144	275450								
		54560	47890			2265525	102665								
		28899.5	213307.5			2261322.5	36127.5								
		34536.5	48377.5			2182633.5	831824.5								
		102203	146996			2080898.5	15580.5								
		147119.5	868.5			1561167	199160								
		211387	83318			1490407	126641								
		184954	2734			1433242.5	2149393.5								
		103998	8253			1404626	123159								
		72393	3693			1400423.5	689726.5								
		36802.5	95261.5			1321730.5	130857.5								
		76549	12938			1051893.5	1223023.5								
		17667	42525			958373.5	1058665.5								
		18697.5	41070.5			820647.5	79578.5								
		23339.5	8627.5			732566	1259278								
		36663	12842			705836	410478								
		19779.5	274749.5			679108	428278								
		1884	876			570041	920184								
		25599.5	10443.5			543312	319144								
		30989	60260			329856.5	2189006.5								
		23148.5	7709.5			243562.5	89094.5								
		22770.5	14025.5			106496	530441								
		16662.5	207451.5			18513	725506								
		10450	941787			189651.5	125304.5								
		8228.5	32807.5			281135.5	1534239.5								
		32478.5	20086.5			172164.5	636636.5								
		7615.5	583983.5			93009	1984669								
		17857.5	81213.5			113338.5	801842.5								
		13199.5	9663.5			201233.5	2474298.5								
		9228.5	17470.5			338902.5	203676.5								
		16985	92418			426547	16007								
		18131.5	149954.5			613440.5	840200.5								
		7092.5	17459.5			527109.5	1296109.5								
		14384	121997			395948	48362								
		12140	70541			307966	2392871								
		4190.5	11791.5			181079	184238								
		6527	11241			93081	42664								
		6236	481095			113461.5	913563.5								
		4922	28010			199707.5	930436.5								
		8855.5	23601.5			337258.5	1656823.5								
		3194	145338			444841	255546								
		34519.5	1517.5			168129.5	422405.5								
		19243	11957			106646	388715								
		20283	8849			18585	30940								
		44336	136			55942.5	508932.5								
		44450.5	6244.5			30352.5	70670.5								
		16753.5	1273.5			166731.5	25682.5								
		11678	330151			254664	1589								
		45837	114368			102160.5	1431023.5								
		34677.5	16222.5			14969	1596356								
		18499	94702			115340.5	102131.5								
		7756	11757			203489	784420								
		13852	3460			35150.5	629464.5								
		19296	6212			163166.5	39184.5								
		20320	40439			93018	159943								
		44553	86476			108474.5	1814523.5								
		44657	41495			149567.5	715454.5								
		4191	23664			210058	211241								
		5482.5	892013.5			422351.5	189663.5								
		27576.5	20856.5			497559.5	1433995.5								
		43289.5	17044.5			389400.5	1405052.5								
		22288.5	24845.5			301397	2078485								
		16784	2772			55941.5	142845.5								
		15936	15707			30288	242068								
		5261	6220			166436.5	531831.5								
		34331.5	21894.5			93030	297939								
		31351.5	1757.5			116010.5	55923.5								
		23941.5	213681.5			181159.5	312769.5								
		40923	142349			93065	7745								
		28727.5	2983.5			110985.5	232541.5								
		98683	71376			152034.5	2045599.5								
		86729	11092			212535	741514								
		6905	15162			424600.5	1369275.5								
		10812	275484			510683.5	2381254.5								
		4424	1354054			379250.5	687651.5								
		9483	25559			55955.5	237598.5								
		16982	17510			30293	644320								
		17202.5	394484.5			166520.5	284299.5								
		21752.5	62524.5			92938	200973								
		131570.5	480474.5			116061.5	2019535.5								
		115120.5	18039.5			202334.5	779657.5								
		103094	4325			281145.5	234766.5								
		63682	32404			285143.5	1796163.5								
		45113	41160			313780.5	14125.5								
		39124	573294			370978	852117								
		37956	15028			450763	1870974								
		26801	6494			963821.5	829465.5								
		17951	99572			1029696.5	226652.5								
		53659	27317			951026.5	953969.5								
		91696.5	81361.5			946820.5	28436.5								
		112111	42641			918197	2471157								
		117328.5	53056.5			861007	584290								
		117915.5	2597038.5			790259	62198								
		153666.5	4159.5			679884	161130								
		174016	11462			613593	546988								
		178807	72391			194711	411844								
		172701.5	16036.5			137771	521340								
		144563.5	1712.5			108836	861459								
		137891.5	75999.5			30071.5	122842.5								
		93084.5	7853.5			73762.5	115306.5								
		75086	7507			580571	1556922								
		27293	214646			651337	717771								
		26176.5	12823.5			708542.5	79369.5								
		9279.5	47118.5			737185	2106306								
		26419	76468			741387.5	496478.5								
		34002	31834			820108.5	208557.5								
		52542.5	5924.5			921855.5	70583.5								
		38078	468289			1390490	283395								
		14358.5	152192.5			1319749	293590								
		35387	90366			1262573.5	717985.5								
		41336	101624			1233961	185540								
