ES_mean_A_No_ES_Enh_only	Rel_exp_A_No_ES_Enh_only	ES_mean_N_No_ES_Enh_only	Rel_exp_N_No_ES_Enh_only	ES_mean_B_No_ES_Enh_only	Rel_exp_B_No_ES_Enh_only	ES_mean_A_ES_NEDE_only	Rel_exp_A_ES_NEDE_only	ES_mean_N_ES_REDE_only	Rel_exp_N_ES_REDE_only	ES_mean_N_ES_NEDE_only	Rel_exp_N_ES_NEDE_only	ES_mean_A_ES_nonEnhTE_only	Rel_exp_A_ES_nonEnhTE_only	ES_mean_A_ES_REDE_only	Rel_exp_A_ES_REDE_only	ES_mean_B_ES_NEDE_only	Rel_exp_B_ES_NEDE_only	ES_mean_N_ES_nonEnhTE_only	Rel_exp_N_ES_nonEnhTE_only	ES_mean_B_ES_nonEnhTE_only	Rel_exp_B_ES_nonEnhTE_only	ES_mean_A_Mixed	Rel_exp_A_Mixed	ES_mean_N_Mixed	Rel_exp_N_Mixed	ES_mean_B_ES_REDE_only	Rel_exp_B_ES_REDE_only	ES_mean_B_Mixed	Rel_exp_B_Mixed	ES_mean_All_A	Rel_exp_All_A	ES_mean_All_B	Rel_exp_All_B	ES_mean_All_N	Rel_exp_All_N
-3.90153825		2.04039205	-2.07187965	-0.728821325	-0.9304982065	-6.36579705		4.57738945	-0.64895905	-5.694576		-1.1805349		-4.47448375		2.3159974	1.0961882	2.73663035	0.13808915	-5.61166215		0.5453787	2.2073619			-1.5650954				2.33385715	0.19414355	-4.69073385	-0.176264500000001	0.0791020425	-1.0541011575
-0.462898925	-0.170228315	2.60133885	-0.47687555	-5.067765		-5.18438135		3.8476565	0.68621255	5.41415875	-0.27371005	-0.461388055	1.29871493	1.69244335	-0.0273589000000001	-0.623966125	-0.643994568	-6.1406915		-5.5953145		-1.2552538	-3.32910635			-1.9144534				-3.90153825	-0.17626465	-3.8542325	-0.1762644	-5.3828017	0.4757385
-8.3758515		-4.3049675		-1.39862845		-4.6849515		-6.23076155		-2.73672835		-5.0057205		3.93133165	0.0377392000000003	5.48945045	0.51856875	-6.46473		-5.80354495		2.05581355	1.066402685			-1.41573463				-0.462898925	-0.170228315	-0.728821325	-0.9304982065	1.73876995	-0.70823935
3.3799862	0.1590261	2.26114145	0.1116101	-4.52278305		-4.5870705		-6.60912035		-5.89464175		-4.7136345		-4.03202045		2.56976305	3.552656315	-6.38850775		-3.1512144		4.8559063	0.918489			-0.38557917	6.83847458			-8.3758515	-4.79067355	-5.067765	-0.1762648	2.04039205	-2.07187965
-1.4439526		1.2359568	-0.47178395	-4.73057425		-4.70222965		-6.4139855		0.943884	-2.410929	-4.39490235		-2.4866656		-5.76478265		-7.3036367		3.41796875	2.36528622	0.44458384	0.173904335			-6.55414385				3.3799862	0.1590261	-1.39862845	3.82248165	2.60133885	-0.47687555
3.3767652	-0.70405365	-4.7436135		-5.8017653		-2.51437378		-5.01343135		1.6553475	0.1805022	-0.4670515	-1.4478647	3.85455585	0.6755847	-3.88225165		5.9405835	0.6061887	-6.3124149		-1.16950385				-4.5280045				-1.4439526	0.8696177	-4.52278305	0.475738300000001	-4.3049675	0.47573865
0.47537365	-1.2816409	-5.0916833		-3.3145325		-4.8264877		1.87960755	1.28704505	4.4856025	-0.361412	-5.7883445		0.307736135	0.0383758599999999	-3.9540605		-5.823859		0.7716393	7.1223738	-0.39090748	-1.18340188			1.54612995	-0.8299776			3.3767652	-0.70405365	-4.73057425	-0.1762649	2.26114145	0.1116101
0.47537365	-1.2816409	-2.1884239		-3.30767795		-5.1898357		5.44780305	-0.3216495	0.8973891	1.08301013	0.297296265	-2.829611535	-0.362286615	-1.728782415	-5.07515215		-5.3211395		-0.88557835	-0.0284368599999999	2.252689	0.3562191			-7.23484945				0.47537365	-1.2816409	-2.6124749	1.5607011	3.04355455	-0.17952025
-4.63384265		-4.3048943		-5.0766251		-6.534136		4.27733155	0.6600258	2.74617915	0.75462365	-3.9654687		1.095566825	-0.274951625	1.8120888	0.2045849	-5.3762828		-5.75631315		1.05964865	0.64371401			-1.00985343				0.47537365	-1.2816409	-4.5683473	-0.176264849999999	1.2359568	-0.47178395
-1.74081705	-1.76990896	-3.83077215		-6.17869545	-6.73929435	-4.6075927		1.74158315	4.57052075	-1.2121412		-6.9489515		1.5754391	-0.08485407	1.3917783	8.11536165	-7.27216525		-2.66108525		1.05964865	0.64371401			-5.0241575				-4.63384265	-0.17626465	-5.8017653	-0.252266149999999	-4.7436135	-0.25226635
