TS_REDE_es_mean	TS_REDE_ts_mean	TS_REDE_Rel_exp	TS_NEDE_es_mean	TS_NEDE_ts_mean	TS_NEDE_Rel_exp	TS_nonEnhTE_es_mean	TS_nonEnhTE_ts_mean	TS_nonEnhTE_Rel_exp	No_TS_Enh_es_mean	No_TS_Enh_ts_mean	No_TS_Enh_Rel_exp	es_mean	ts_mean	Rel_exp
-5.90982475	-5.7335605		5.5292992	6.3858853	-0.8565861	-2.9079477	-6.26113		2.210457	2.3710368	-0.1605798	-1.038612875	-5.9355263	
-0.65381791	-1.84753445	1.19371654	0.6870318	0.94301115	-0.25597935	-0.2764245965	-2.63311875	2.3566941535	-0.91599437	-0.827018025	-0.088976345	-3.3402826	-4.0325007	
-2.5912719	-4.06701015		1.51116155	4.3838308	-2.87266925	1.7128303	2.1302102	-0.4173799	1.6481901	0.910720765	0.737469335	3.102614	3.0077853	0.0948286999999999
1.90472555	5.5931022	-3.68837665	0.699778665	1.30676462	-0.606985955	-6.14490985	-5.96864525		-3.97919095	-3.8029261		3.1388993	2.71310625	0.42579305
0.069023325	0.447011335	-0.37798801	-5.4136115	-4.661345		-1.42961085	-6.23062585		0.306136785	0.457218912	-0.151082127	-1.42059185	1.03237695	-2.4529688
0.475374835	0.53936974	-0.0639949049999999	-6.37120825	-6.19494315		1.1583848	-1.10242885	2.26081365	-5.25633095	-5.08006645		3.1065912	3.359532	-0.2529408
0.318276315	2.29832815	-1.980051835	2.98476515	2.76315335	0.2216118	-7.1194124	-6.9431479		-1.7625564	-0.390132835	-1.372423565	2.210457	2.3710368	-0.1605798
3.5319152	3.7925714	-0.2606562	-2.66299855	-4.16198235		-4.83084905	-3.07858255		0.71069752	1.45603765	-0.74534013	-0.91599437	-0.827018025	-0.088976345
-6.3042655	-6.128001		-7.0072657	-4.38651695		-6.6101373	-6.43387245		2.5695748	0.115264225	2.454310575	1.6481901	0.910720765	0.737469335
-6.62933335	-6.4530685		-1.33051955	-2.0681645		-4.07956635	-3.9033018		-0.845126575	-2.8745749	2.029448325	2.6720121	3.3326901	-0.660678
-4.9081715	-4.73190675		5.67620525	5.7440005	-0.0677952499999996	-4.34700135	-4.1707367		2.7122677	2.7675243	-0.0552565999999999	-3.97919095	-3.8029261	
-6.33523625	-1.9661603		0.046200045	-3.56058695	3.606786995	-5.2314225	-5.055158		1.45583445	-1.2801149	2.73594935	0.805168	0.29423499	0.51093301
1.9533489	2.1930418	-0.2396929	4.06383405	3.6458126	0.41802145	-7.18506425	-7.00879985		-6.65272785	0.51175293	-7.16448078	2.01107125	2.5454958	-0.53442455
-2.35549875	-2.14023285		3.5299709	2.5003168	1.0296541	-1.40904845	-4.89123885		2.3547777	2.70830395	-0.35352625	0.306136785	0.457218912	-0.151082127
-4.04692005	-4.6811265		3.0613896	2.743857	0.3175326	-2.2617798	-1.38935615		3.08225535	3.5645872	-0.48233185	-5.25633095	-5.08006645	
-5.97287735	-5.1446095		1.1723589	0.813460885	0.358898015	-2.76934385	-2.5930791		2.83618115	2.58104885	0.2551323	-1.7625564	-0.390132835	-1.372423565
-0.94354888	0.26405137	-1.20760025	-3.1341757	-2.7188872		-6.218138	-6.0418732		1.89696875	1.7122179	0.18475085	0.71069752	1.45603765	-0.74534013
6.78265035	7.2108198	-0.428169449999999	-3.5474638	-3.8508783		-5.62062335	-4.4646797		2.7204003	2.49865005	0.22175025	-4.906336	-2.0691071	
6.4786994	7.13071265	-0.65201325	3.72329155	4.5074555	-0.78416395	-5.65568675	-5.47942225		-5.18963785	-7.2430891		2.5695748	0.115264225	2.454310575
-4.0117685	-2.1057881		-0.201438495	0.84968093	-1.051119425	-5.78679285	-5.6865301		-1.6759972	0.351020685	-2.027017885	-0.845126575	-2.8745749	2.029448325
2.7758832	3.7075613	-0.9316781	-3.36014475	-3.8153975		-5.4986385	-5.32237375		-4.80369965	-7.2794382		2.7122677	2.7675243	-0.0552565999999999
-4.25112265	-4.0748582		0.509593675	3.8610345	-3.351440825	-5.59941875	-4.8471525		-1.151764885	-1.367062		1.45583445	-1.2801149	2.73594935
0.250245855	2.2186869	-1.968441045	1.34489395	1.57320497	-0.22831102	0.86897875	1.4764037	-0.60742495	1.243193675	1.2982557	-0.0550620249999998	-6.65272785	0.51175293	-7.16448078
-1.07660865	1.9486076	-3.02521625	-4.082443	-5.27466115		0.01660256	0.881648675	-0.865046115	-1.82719055	-1.2604846		2.3547777	2.70830395	-0.35352625
-4.0600355	-5.696738		4.68688685	4.1840824	0.50280445	-2.2928157	-6.2571942		-5.01343135	-4.8371667		3.08225535	3.5645872	-0.48233185
1.8088268	5.34952485	-3.54069805	-6.5636285	-6.38736375		-3.83660695	-3.7363437		0.0791020425	1.1332032	-1.0541011575	2.83618115	2.58104885	0.2551323
1.69207545	2.7483938	-1.05631835	-3.7726154	-4.7573146		-3.9048588	-3.72859405		2.45000505	3.4914956	-1.04149055	1.89696875	1.7122179	0.18475085
1.81199545	5.45844435	-3.6464489	-2.525627	-1.74197255		-6.816385	-6.6401202		-5.3828017	-5.8585402		2.7204003	2.49865005	0.22175025
-4.7095105	-6.68524865		-4.27261885	-5.2573184		-4.65760085	-7.32949755		2.4599957	3.45265185	-0.99265615	-5.18963785	-7.2430891	
-0.256870575	-1.5968166	1.339946025	-1.47582395	-5.45156275		-4.89924645	-5.7989835		1.73876995	2.4470093	-0.70823935	1.15014345	0.86644898	0.28369447
2.43502385	0.119515785	2.315508065	-5.20338235	-5.0271175		-4.9180645	-4.7417996		2.04039205	4.1122717	-2.07187965	-1.6759972	0.351020685	-2.027017885
4.14504085	4.1177479	0.0272929500000005	5.09022935	5.34121015	-0.250980800000001	4.1246345	4.24046975	-0.11583525	2.60133885	3.0782144	-0.47687555	-4.80369965	-7.2794382	
3.9515317	4.16520665	-0.21367495	3.4299947	3.4882832	-0.0582885000000002	-6.7905005	-3.7640159		-4.3049675	-4.78070615		-5.53578965	-6.9355267	
-4.9098251	-4.73356025		2.1643845	3.1188635	-0.954479	-6.3754032	-6.1991384		-4.5870705	-4.41080545		-1.151764885	-1.367062	
-4.5236915	-4.34742675		1.1807262	0.11215899	1.06856721	3.7913912	3.64454805	0.14684315	2.92419605	2.96595105	-0.0417550000000002	-2.0310307	0.194106275	-2.225136975
-6.13857745	-5.88631125		2.17607365	2.27715075	-0.1010771	-6.08689335	-5.3346272		2.26114145	2.14953135	0.1116101	1.243193675	1.2982557	-0.0550620249999998
-0.714899435	-4.38918485	3.674285415	5.6628447	5.55723815	0.10560655	-6.948549	-6.7722842		-4.8965435	-4.720279		-1.82719055	-1.2604846	
-3.40383575	-2.65156935		7.4115902	6.83829435	0.57329585	3.3227388	4.03602345	-0.71328465	-7.0513788	-6.2991128		-5.01343135	-4.8371667	
-4.486501	-4.2342345		-1.3582043	-1.2629136		-0.534363575	0.76985035	-1.304213925	-2.9038962	-2.1693327		0.0791020425	1.1332032	-1.0541011575
-4.9147743	-4.73850945		0.8406771	2.5443537	-1.7036766	-6.83869195	-6.66242715		1.737386	2.1842307	-0.4468447	2.45000505	3.4914956	-1.04149055
-5.974458	-5.7981935		-3.4565005	-3.41496625		-6.2340647	-6.05780035		-0.11775211	0.390298915	-0.508051025	-5.3828017	-5.8585402	
-4.0677651	-3.8915002		1.79789455	4.4258428	-2.62794825	-2.5560772	-4.1519727		-3.1512144	-2.97494975		2.4599957	3.45265185	-0.99265615
-3.7473175	-3.57105255		0.97511117	4.2600392	-3.28492803	-3.55133695	-3.19200815		3.04355455	3.2230748	-0.17952025	1.73876995	2.4470093	-0.70823935
-4.8017653	-4.62550045		2.5995432	2.93343845	-0.33389525	-7.6435645	-7.4672998		1.2359568	1.70774075	-0.47178395	2.04039205	4.1122717	-2.07187965
-5.03328865	-4.857024		1.5629147	2.38000595	-0.81709125	2.9997796	3.2018691	-0.2020895	-6.4798373	-6.30357245		2.60133885	3.0782144	-0.47687555
-5.39490235	-3.8501548		0.97974875	0.88755015	0.0921986	0.01438555	-1.22801115	1.2423967	-0.784087445	-0.53652054	-0.247566905	-4.3049675	-4.78070615	
