NEDE Nearest.dist	NEDE Chicago.dist	NEDE Gothic.dist
13484.5	28228	224006
2098.5	38079	1
6444.5	2600	55345
30297.5	4121	44744
4979	360820	41171
19396.5	48322	1
3026	141380	1162
3341	141380	120459
3054	37816	25791
37131	128117	39039
4975.5	44822	1196
18395	72894	23884
42339.5	310599	1870
26185.5	21042	37165
3319	21042	62380
13757	11401	167491
48156.5	83546	18483
50324.5	27375	1
1809.5	180476	23638
10259	32854	54940
8124.5	5268	41129
32671	5268	56143
2633.5	5268	28325
37617	18489	23566
60086	18489	11625
28494.5	18489	6653
1188	7529	4358
20911	103162	10645
10951	2138	201595
5262	19619	149944
31242	94473	99983
19949.5	124270	53002
81411	270357	85371
48687.5	243774	50989
36740	126782	47454
42321.5	96497	8043
27835.5	30174	47052
7816.5	10793	66311
77383	3444	183223
64198.5	45612	14628
35967.5	86231	1
31830	294198	13037
65239	113278	14966
26285.5	209932	1083
8732.5	325880	4895
18002	8101	425711
80864.5	244990	425711
12337.5	83534	72201
45312	337860	372228
47947.5	72108	372228
6292.5	2303	16264
65451.5	4436	3150
86445.5	130556	238882
33907.5	296654	1
25162	349357	51666
88253	173234	34613
30305.5	23871	5276
81525.5	43916	30958
13810	103948	49363
21659	222111	23543
5633.5	92065	86084
25739.5	13678	18771
82932.5	600332	2356
61576.5	53634	1
30746.5	3014	88010
19401	72413	4963
88185.5	401879	1
68613	699252	134379
14524	695812	35374
4755.5	24046	20763
10314	366123	90055
22867.5	182713	1
40252.5	54804	5465
32073.5	5117	35842
15627	737574	27006
45982.5	5082	53169
3432	13011	9504
65277	51607	174438
32368.5	165844	65730
7341	281845	159529
33161.5	253493	38068
8309.5	390055	44891
8437.5	3347	54172
6038.5	97475	32185
20645.5	97475	150501
65079	62417	4273
3991.5	183112	75311
22923	261720	6402
12950	261720	12047
72543.5	158444	205824
57792.5	158444	39212
64996.5	166945	18336
70479	166945	17234
26568	48516	222143
81592.5	31270	32548
4387	187264	45332
11159.5	207300	30549
30349	342322	1675
14940	2131	80560
4784	31365	29193
11311.5	53700	66302
8516.5	9158	286277
8139.5	13130	6410
7175	77390	76730
8597.5	372305	35275
9332.5	87245	1
5955	93955	133129
1332.5	109389	142416
14806.5	313715	21858
12042.5	303736	21858
66430	180768	10991
65481	154589	25714
2146	123316	68244
56094	99851	75297
23647.5	19745	82194
22663.5	2251	94067
29338	9868	10430
90710.5	53791	26703
75288	192462	1
20162.5	88265	95744
19669	2869	6660
26642.5	118044	1061
11395	4739	38177
8722	43619	3434
10772.5	138183	8016
18132	88567	87708
37111.5	107978	126900
44375	111024	21132
60518	231078	31319
87532	181233	56911
23832	64039	168882
56012.5	36643	1677
47529.5	343694	2937
16263.5	338371	16094
2917.5	188518	17716
2086	2237	268111
13824	3107	42897
27060.5	142010	3741
21746	62755	431946
20218	87079	41897
18025	26281	18031
3149	334510	23109
59812	322843	38809
47666	23337	65764
37851.5	217621	60667
66301.5	340988	15131
59792	381583	13706
10884	87836	40258
28442	313876	20262
21910	168923	27952
70706.5	193680	115654
64976.5	172469	1
33977.5	143583	91797
93004	4809	39679
89492	214146	81303
47835.5	309718	9267
38500.5	1415143	13375
9026	63783	13421
35664	111324	34512
44852.5	356355	149404
95952.5	261316	1717
8750.5	319263	66018
4882	276060	37596
7156.5	13367	1219
20387.5	34205	133928
78289	90819	99505
40493	114414	19281
48288	144632	12291
60638.5	171679	14343
40573.5	192787	7828
4058	237078	6624
25457	652330	37197
17315.5	6868	252040
17650.5	77322586	10657
33754.5	59966	75677
58312.5	41715	38721
33604.5	19107	11057
69681.5	988	13064
45612.5	37566	47885
22107	114349	38132
19852.5	47919	55294
11826.5	191980	66584
71665	231875	83746
15857.5	122575	148597
67231	8044	46711
42583.5	36018	71583
45630	170100	76813
28128.5	488679	60977
20539	103891	19977
19446.5	56020	36434
42716	61555	43022
39916.5	89421	172419
34684.5	98461	393
22817.5	109762	71187
2711	174814	19084
14174	184299	112114
24743	250542	163301
58762.5	264421	7753
58358.5	268893	14321
55182.5	370739	127471
35729.5	119043	2093
42484.5	144099	17195
44793	277446	10161
10639.5	3268	10981
34375.5	156860	23250
28530	225610	60525
16884	56124	15467
16786	273198	58098
43279.5	3795	23244
61664	187584	4142
8535.5	178631	18727
10901	197285	1
60213.5	5744	343044
52588	85251	125538
83843	28896	12018
9219.5	15197	3804
66362.5	33504	173701
27999.5	80158	108189
18966.5	77783	4065
22290	305041	1
1561	257173	7125
19292.5	202973	58390
10122.5	171663	194096
25603.5	208769	210354
29506.5	225863	66784
4220	217379	13353
4627.5	49467	36796
30902.5	32373	7641
40025	6665	44619
2835	45417	393
11616.5	49467	4235
15632.5	10715	135295
40727	5985	142250
19824.5	66823	109714
13242.5	45308	77470
85185	66423	4809
44635	494509	3884
27998.5		12344
3434.5		53484
6758.5		39204
55556		45291
55507.5		3058
24692.5		79811
25071.5		1
49540		1
72764		66098
34994		66098
62308		77100
31104		34234
26333		133184
15213		7801
22566.5		28390
40174		58017
23415.5		9706
28109		11907
3062.5		124107
10035.5		12795
937.5		11687
42650.5		43675
5014.5		43675
99646		232846
47832.5		109416
6009		88083
31111		4405
35009.5		62717
81657.5		10393
69297		25910
15619		15053
11808		8829
82398.5		1
91166.5		43684
21267		56405
31085		98010
21696		68182
26215.5		36031
36058.5		85340
99258.5		72821
25424		319269
8753.5		24781
40286.5		47593
38137		105701
64438.5		110573
33626		18559
4552.5		12011
1707		270016
56996.5		45860
32247		56821
7346		23848
6589.5		1
19682		20985
53388		404
907		48652
38867		173432
39278.5		22027
23314.5		47514
53413		40773
8140		54214
13057		226
32485		47349
32408.5		70515
7231		125118
4828.5		48167
7905		12619
34576		85765
51802.5		52246
75898.5		3977
9528		26412
56121.5		177987
7615		28438
913		9956
74805.5		32115
23397.5		44776
10277		76900
57036.5		110151
14567.5		556236
85893.5		25520
87792		13142
41935.5		1
5554		17439
82436		5515
5257		29515
40871.5		42711
61287.5		14379
45944		1
5859.5		26410
6943		70805
2649.5		85343
49632		176817
2138		35349
31536		24610
12300		74932
9660.5		50040
42207.5		50040
68806		961
7774		961
11804.5		36273
1145		56489
3251		8958
3534		77172
8993.5		185823
38800		185823
15475.5		15720
55538		29641
40212.5		36965
85688		140884
77063		166300
67808.5		70914
4673		61131
9608.5		78771
15612.5		102233
3796.5		37365
4133		21527
37300.5		44981
23002		10142
23898.5		60361
16984.5		206
20896		150766
30931.5		132644
41039.5		64439
31848.5		35023
40961		1
82387.5		3057
88336		111853
18196		27853
65464		4907
31965		44193
5424		55720
7738.5		30825
4337.5		48339
7095.5		27481
13149		87021
8434.5		48934
29676.5		67485
8737.5		78330
24476.5		16223
69679.5		31177
65676.5		156860
39469.5		184020
94684		205669
84200		13358
57679.5		35476
4343		29822
20779		164901
12786.5		82466
766		18270
1674		98116
57224		40386
19895.5		108459
13151		570
40473.5		248639
32831.5		64003
4759		58565
7305.5		92788
28167		249750
28763.5		201425
5176.5		41784
4104		40101
2620		31674
13243		71611
1621.5		70218
6636.5		197600
57422.5		24660
42337		61470
41877.5		88733
43299		44512
11832.5		26106
53389		7339
44846.5		133910
4040		96784
4436		210443
29444		199415
